travel_preferences,recommended_destination
"Rock Climbing, Deserts, Adventure Seekers","Joshua Tree, USA"
"Surfing, Relaxed Vibes, Adventure Seekers","Bali, Indonesia"
"Cultural Heritage, Old Cities, Adventure Seekers","Kyoto, Japan"
"Northern Lights, Snow Adventures, Adventure Seekers","Reykjavik, Iceland"
"Trekking, High Mountains, Adventure Seekers","Himalayas, Nepal"
"Luxury Shopping, Modern City Life, Adventure Seekers",Singapore
"Hot Air Balloon Rides, Ancient Landscapes, Adventure Seekers","Cappadocia, Turkey"
"Food and Wine, Historic Towns, Adventure Seekers","Bordeaux, France"
"Island Relaxation, Volcano Tours, Adventure Seekers","Hawaii, USA"
"Photography, Nature Exploration, Adventure Seekers","Banff, Canada"
"Architectural Wonders, Historical Museums, Adventure Seekers","Barcelona, Spain"
"Cultural Dance, Festivals, Adventure Seekers","Rio de Janeiro, Brazil"
"Fishing Villages, Coastal Roads, Adventure Seekers","Amalfi Coast, Italy"
"Safari Lodges, Desert Exploration, Adventure Seekers",Namibia
"Music Festivals, Urban Life, Adventure Seekers","Berlin, Germany"
"Wildlife, National Reserves, Adventure Seekers","Kruger National Park, South Africa"
"Island Hopping, Coral Reefs, Adventure Seekers",Fiji
"Hiking, Waterfalls, Jungles, Adventure Seekers",Dominica
"Wine Country, Culinary Delights, Adventure Seekers","Napa Valley, USA"
"Historical Architecture, Cafes, Adventure Seekers","Prague, Czech Republic"
"Beach Resorts, Cultural Sites, Adventure Seekers","Zanzibar, Tanzania"
"Wild Nature, Ice Hotels, Adventure Seekers","Lapland, Finland"
"Mediterranean Food, Blue Beaches, Adventure Seekers","Santorini, Greece"
"Mountains, Cultural Immersion, Adventure Seekers","Andes, Chile"
"Surfing, Eco Resorts, Adventure Seekers","Nosara, Costa Rica"
"Photography, Sand Dunes, Adventure Seekers","Sossusvlei, Namibia"
"Island Retreat, Luxury Villas, Adventure Seekers",Seychelles
"Mountain Adventure, Canyons, Adventure Seekers","Grand Canyon, USA"
"Biking Tours, Countryside, Adventure Seekers","Tuscany, Italy"
"Kayaking, Fjords, Adventure Seekers",Norway
"Temples, Historic Routes, Adventure Seekers","Angkor Wat, Cambodia"
"Art Galleries, Theater Shows, Adventure Seekers","London, UK"
"Countryside Cottages, Rolling Hills, Adventure Seekers","Cotswolds, England"
"Budget Friendly Beaches, Snorkeling, Tropical",Maldives
"Budget Friendly Adventure, Hiking, Nature","Patagonia, Argentina"
"Budget Friendly Historical Sites, Culture, Food Tours","Rome, Italy"
"Budget Friendly Mountains, Lakes, Relaxation","Lake Tahoe, USA"
"Budget Friendly Safari, Wildlife, National Parks","Masai Mara, Kenya"
"Budget Friendly Winter Sports, Skiing","Aspen, Colorado"
"Budget Friendly Desert Landscapes, Luxury Resorts","Dubai, UAE"
"Budget Friendly Ancient Ruins, Spirituality","Machu Picchu, Peru"
"Budget Friendly Rainforests, Eco-Tourism",Costa Rica
"Budget Friendly Vibrant City Life, Art, Museums","Paris, France"
"Budget Friendly Beaches, Party, Nightlife","Ibiza, Spain"
"Budget Friendly Adventure Sports, Bungee Jumping","Queenstown, New Zealand"
"Budget Friendly Street Food, Temples, Markets","Bangkok, Thailand"
"Budget Friendly Island Hopping, Scuba Diving",Philippines
"Budget Friendly Historical Castles, Scenic Villages","Edinburgh, Scotland"
"Budget Friendly Whale Watching, Glaciers","Alaska, USA"
"Budget Friendly Romantic Getaway, Wine Tours","Tuscany, Italy"
"Budget Friendly Rock Climbing, Deserts","Joshua Tree, USA"
"Budget Friendly Surfing, Relaxed Vibes","Bali, Indonesia"
"Budget Friendly Cultural Heritage, Old Cities","Kyoto, Japan"
"Budget Friendly Northern Lights, Snow Adventures","Reykjavik, Iceland"
"Budget Friendly Trekking, High Mountains","Himalayas, Nepal"
"Budget Friendly Luxury Shopping, Modern City Life",Singapore
"Budget Friendly Hot Air Balloon Rides, Ancient Landscapes","Cappadocia, Turkey"
"Budget Friendly Food and Wine, Historic Towns","Bordeaux, France"
"Budget Friendly Island Relaxation, Volcano Tours","Hawaii, USA"
"Budget Friendly Photography, Nature Exploration","Banff, Canada"
"Budget Friendly Architectural Wonders, Historical Museums","Barcelona, Spain"
"Budget Friendly Cultural Dance, Festivals","Rio de Janeiro, Brazil"
"Budget Friendly Fishing Villages, Coastal Roads","Amalfi Coast, Italy"
"Budget Friendly Safari Lodges, Desert Exploration",Namibia
"Budget Friendly Music Festivals, Urban Life","Berlin, Germany"
"Budget Friendly Wildlife, National Reserves","Kruger National Park, South Africa"
"Budget Friendly Island Hopping, Coral Reefs",Fiji
"Budget Friendly Hiking, Waterfalls, Jungles",Dominica
"Budget Friendly Wine Country, Culinary Delights","Napa Valley, USA"
"Budget Friendly Historical Architecture, Cafes","Prague, Czech Republic"
"Budget Friendly Beach Resorts, Cultural Sites","Zanzibar, Tanzania"
"Budget Friendly Wild Nature, Ice Hotels","Lapland, Finland"
"Budget Friendly Mediterranean Food, Blue Beaches","Santorini, Greece"
"Budget Friendly Mountains, Cultural Immersion","Andes, Chile"
"Budget Friendly Surfing, Eco Resorts","Nosara, Costa Rica"
"Budget Friendly Photography, Sand Dunes","Sossusvlei, Namibia"
"Budget Friendly Island Retreat, Luxury Villas",Seychelles
"Budget Friendly Mountain Adventure, Canyons","Grand Canyon, USA"
"Budget Friendly Biking Tours, Countryside","Tuscany, Italy"
"Budget Friendly Kayaking, Fjords",Norway
"Budget Friendly Temples, Historic Routes","Angkor Wat, Cambodia"
"Budget Friendly Art Galleries, Theater Shows","London, UK"
"Budget Friendly Countryside Cottages, Rolling Hills","Cotswolds, England"
